fips,cases,deaths,lat,long,state,county,total_population
6007,51756,243747,39.66727762,-121.6005252, California,Butte County,225817
6009,9612,68426,38.20537103,-120.552913, California,Calaveras County,45514
6011,5310,14381,39.17881957,-122.2331726, California,Colusa County,21454
6013,293639,836295,37.91923498,-121.9289527, California,Contra Costa County,1142251
6015,8392,25755,41.74228275,-123.8974063, California,Del Norte County,27495
6017,39031,123293,38.77965956,-120.5233166, California,El Dorado County,188563
6019,328084,1718748,36.75733899,-119.6466953, California,Fresno County,984521
6021,7788,26100,39.59875897,-122.3938452, California,Glenn County,27976
6023,29183,78344,40.69923009,-123.876044, California,Humboldt County,135940
6025,88524,652313,33.0393082,-115.3669042, California,Imperial County,180701
6027,6048,36279,36.51112084,-117.4111978, California,Inyo County,17977
6029,308788,1438257,35.34329425,-118.7277796, California,Kern County,887641
6031,67224,273393,36.07409056,-119.8159973, California,Kings County,150691
6033,14898,77155,39.10124298,-122.7536244, California,Lake County,64195
6035,11310,33290,40.67311306,-120.5935099, California,Lassen County,30818
6037,3691301,21934414,34.30828379,-118.2282411, California,Los Angeles County,10081570
6039,54990,231218,37.21513971,-119.7665589, California,Madera County,155433
6041,54594,209069,38.07122463,-122.7210631, California,Marin County,259943
6043,4533,16405,37.57978556,-119.9073334, California,Mariposa County,17420
6045,21667,71834,39.4381191,-123.3911313, California,Mendocino County,87224
6047,88999,503512,37.18922369,-120.7209035, California,Merced County,271382
6049,1323,4734,41.58965602,-120.7244817, California,Modoc County,8907
6051,3623,3890,37.93899289,-118.8872409, California,Mono County,14310
6053,120991,454867,36.21862405,-121.2413397, California,Monterey County,433410
6055,35842,86631,38.50735751,-122.332839, California,Napa County,139623
6057,22422,75052,39.30394768,-120.7627281, California,Nevada County,99244
6059,783685,4614224,33.70147516,-117.7645998, California,Orange County,3168044
6061,90984,357900,39.06167234,-120.7240569, California,Placer County,385512
6063,4284,6637,40.00355989,-120.8395236, California,Plumas County,18660
6065,774340,4215973,33.74314981,-115.9933578, California,Riverside County,2411439
6067,406986,1921470,38.45106826,-121.3425374, California,Sacramento County,1524553
6069,18723,62782,36.60308176,-121.069975, California,San Benito County,60376
6071,743194,4681362,34.84060306,-116.1774685, California,San Bernardino County,2149031
6073,1062026,3468633,33.03484597,-116.7365326, California,San Diego County,3316073
6075,208522,560340,37.75215114,-122.4385672, California,San Francisco County,874961
6077,226119,1412996,37.93433732,-121.2730061, California,San Joaquin County,742603
6079,74408,284850,35.38822029,-120.4039028, California,San Luis Obispo County,282165
6081,193626,492014,37.4228808,-122.3275546, California,San Mateo County,767423
6083,119581,442135,34.65329488,-120.0188492, California,Santa Barbara County,444829
6085,494916,1607847,37.23104908,-121.6970462, California,Santa Clara County,1927470
6087,72011,174432,37.05580291,-122.0066524, California,Santa Cruz County,273962
6089,44684,328337,40.76391419,-122.0396884, California,Shasta County,179212
6091,372,1394,39.57713498,-120.5200701, California,Sierra County,3040
6093,8883,40538,41.59198861,-122.5407434, California,Siskiyou County,43468
6095,121986,272023,38.26827353,-121.9357113, California,Solano County,441829
6097,119035,325134,38.52746429,-122.8862506, California,Sonoma County,499772
6099,167518,1071603,37.55862499,-120.9970722, California,Stanislaus County,543194
6101,28230,132688,39.03417539,-121.6945899, California,Sutter County,96109
6103,17833,98744,40.12570935,-122.2370171, California,Tehama County,63912
6105,1977,9798,40.6491767,-123.114713, California,Trinity County,12700
6107,168010,906129,36.22026558,-118.8020203, California,Tulare County,461898
6109,17824,92088,38.02644018,-119.9525093, California,Tuolumne County,54045
6111,238508,938839,34.44465746,-119.0910613, California,Ventura County,847263
6113,54769,212870,38.68278902,-121.9018288, California,Yolo County,217352
6115,21842,67041,39.26255932,-121.3535644, California,Yuba County,76360
8001,165749,842774,39.87432092,-104.3362578, Colorado,Adams County,504108
8003,5914,39790,37.57250606,-105.7885451, Colorado,Alamosa County,16107
8005,196452,848466,39.64977461,-104.3353617, Colorado,Arapahoe County,644560
8007,3531,7566,37.19474156,-107.0476867, Colorado,Archuleta County,13253
8009,1025,6765,37.31940883,-102.5603223, Colorado,Baca County,3561
8011,3000,27246,37.95474293,-103.0720195, Colorado,Bent County,5787
8013,90872,254246,40.09313619,-105.3546767, Colorado,Boulder County,322510
8014,18324,82999,39.95998787,-105.0566324, Colorado,Broomfield County,67886
8015,5656,33318,38.74745778,-106.1926573, Colorado,Chaffee County,19557
8017,393,6406,38.82777431,-102.6032558, Colorado,Cheyenne County,2026
8019,1926,6242,39.68864463,-105.6463118, Colorado,Clear Creek County,9495
8021,2296,29147,37.201606,-106.1917488, Colorado,Conejos County,8128
8023,952,8883,37.27732493,-105.4276548, Colorado,Costilla County,3745
8025,3556,18894,38.32608609,-103.7844965, Colorado,Crowley County,5754
8027,836,9848,38.10883162,-105.3683478, Colorado,Custer County,4776
8029,7173,81238,38.86246243,-107.8631342, Colorado,Delta County,30565
8031,224098,961328,39.76018276,-104.8725695, Colorado,Denver County,705576
8033,423,3550,37.75208676,-108.5211585, Colorado,Dolores County,1857
8035,100812,283349,39.33133796,-104.930001, Colorado,Douglas County,336041
8037,18775,25623,39.62754308,-106.6933637, Colorado,Eagle County,54681
8039,5821,22773,39.28656773,-104.1358721, Colorado,Elbert County,25717
8041,236429,1054129,38.83240149,-104.5251411, Colorado,El Paso County,698974
8043,18712,100512,38.47362326,-105.4399667, Colorado,Fremont County,47321
8045,18007,57092,39.59921777,-107.902708, Colorado,Garfield County,59055
8047,1171,3036,39.85646523,-105.5252597, Colorado,Gilpin County,6018
8049,4052,14044,40.10603347,-106.1178042, Colorado,Grand County,15303
8051,3965,9602,38.66611652,-107.0320729, Colorado,Gunnison County,16802
8053,159,0,37.82247444,-107.3004345, Colorado,Hinsdale County,857
8055,1757,20921,37.68473101,-104.9612585, Colorado,Huerfano County,6679
8057,195,14,40.6659387,-106.3408905, Colorado,Jackson County,1261
8059,160246,900679,39.58635604,-105.2517692, Colorado,Jefferson County,574798
8061,391,3493,38.43260896,-102.7392145, Colorado,Kiowa County,1489
8063,1875,18682,39.30497777,-102.6022199, Colorado,Kit Carson County,7447
8065,2199,940,39.20278823,-106.3555697, Colorado,Lake County,7751
8067,15781,51556,37.28632032,-107.8429014, Colorado,La Plata County,55617
8069,108359,309036,40.66671597,-105.4625784, Colorado,Larimer County,344786
8071,4391,22809,37.3153406,-104.0376458, Colorado,Las Animas County,14266
8073,2382,5757,38.98749519,-103.5136649, Colorado,Lincoln County,5585
8075,8640,73088,40.7249637,-103.110817, Colorado,Logan County,22380
8077,51670,327043,39.01787888,-108.469799, Colorado,Mesa County,151218
8079,302,1377,37.66954283,-106.9281698, Colorado,Mineral County,824
8081,3725,31944,40.61810999,-108.2070876, Colorado,Moffat County,13127
8083,7640,43364,37.33859579,-108.5958857, Colorado,Montezuma County,26031
8085,11172,95198,38.40214114,-108.2639022, Colorado,Montrose County,41686
8087,6939,100930,40.2627981,-103.8093302, Colorado,Morgan County,28517
8089,5304,77637,37.9014485,-103.7173385, Colorado,Otero County,18282
8091,1114,4133,38.14717457,-107.7675136, Colorado,Ouray County,4796
8093,3490,10986,39.120926,-105.7182065, Colorado,Park County,17867
8095,1114,12384,40.59414277,-102.3577703, Colorado,Phillips County,4290
8097,8066,5041,39.21720112,-106.9310027, Colorado,Pitkin County,17926
8099,3220,29693,37.95544985,-102.3926052, Colorado,Prowers County,12022
8101,61750,487949,38.17359144,-104.5127437, Colorado,Pueblo County,165982
8103,2228,7366,39.97913541,-108.2179009, Colorado,Rio Blanco County,6384
8105,3619,24967,37.5836865,-106.3847838, Colorado,Rio Grande County,11305
8107,7854,20591,40.48596505,-106.9905548, Colorado,Routt County,25072
8109,1517,7335,38.08054629,-106.282466, Colorado,Saguache County,6592
8111,316,0,37.76248981,-107.6763289, Colorado,San Juan County,589
8113,2710,3674,38.00450883,-108.4020725, Colorado,San Miguel County,8049
8115,581,5234,40.87595412,-102.3519227, Colorado,Sedgwick County,2322
8117,12064,9297,39.63803232,-106.1150762, Colorado,Summit County,30649
8119,5907,31490,38.88133511,-105.1614893, Colorado,Teller County,24524
8121,1256,17300,39.97015535,-103.202587, Colorado,Washington County,4868
8123,105756,454481,40.55499405,-104.3929621, Colorado,Weld County,305345
8125,2331,16449,40.00346839,-102.4258673, Colorado,Yuma County,10003
9001,263765,2161517,41.26809896,-73.3881171, Connecticut,Fairfield County,943926
9003,236386,2409614,41.80283011,-72.73103891, Connecticut,Hartford County,893561
9005,41655,317581,41.7937534,-73.2451475, Connecticut,Litchfield County,182002
9007,38739,360623,41.45949668,-72.53714864, Connecticut,Middlesex County,163053
9009,257121,2096034,41.4080325,-72.93620426, Connecticut,New Haven County,857513
9011,73660,442657,41.48896435,-72.10430976, Connecticut,New London County,267390
9013,27817,187233,41.85853803,-72.3308481, Connecticut,Tolland County,151063
9015,31313,189090,41.82972709,-71.98182316, Connecticut,Windham County,116566
10001,64330,402133,39.08646628,-75.56884914, Delaware,Kent County,176699
10003,186739,921627,39.57992638,-75.64054974, Delaware,New Castle County,556165
10005,78150,562655,38.66143781,-75.39031349, Delaware,Sussex County,224384
11001,177215,1051874,38.90417773,-77.01655992, District of Columbia,District of Columbia,692683
12001,89071,356327,29.67866525,-82.35928158, Florida,Alachua County,265443
12003,10669,76515,30.33060121,-82.28467476, Florida,Baker County,28211
12005,55804,456252,30.26548745,-85.62122584, Florida,Bay County,182161
12007,9161,78046,29.95079741,-82.16611613, Florida,Bradford County,27317
12009,174061,1156373,28.29409504,-80.73091022, Florida,Brevard County,585507
12011,769484,3482025,26.15184651,-80.48725556, Florida,Broward County,1926205
12013,4894,54223,30.40666734,-85.19394153, Florida,Calhoun County,14362
12015,48341,482107,26.90131002,-81.92949121, Florida,Charlotte County,181067
12017,38779,544419,28.84804315,-82.47614748, Florida,Citrus County,145169
12019,66713,456036,29.98319144,-81.85609986, Florida,Clay County,211405
12021,105789,607795,26.11091986,-81.34687065, Florida,Collier County,371453
12023,25544,217432,30.22509788,-82.62160164, Florida,Columbia County,69968
12027,11230,94330,27.18677893,-81.80941373, Florida,DeSoto County,36903
12029,4905,35423,29.60631086,-83.15724673, Florida,Dixie County,16589
12031,316883,1830980,30.33225875,-81.66976468, Florida,Duval County,936186
12033,97483,773042,30.67652764,-87.37284571, Florida,Escambia County,313491
12035,28830,176242,29.45933576,-81.31508595, Florida,Flagler County,109801
12037,3557,26232,29.83791238,-84.82731662, Florida,Franklin County,11811
12039,17590,118116,30.57796289,-84.61915825, Florida,Gadsden County,45945
12041,5603,51759,29.72856978,-82.79880657, Florida,Gilchrist County,17953
12043,2288,20863,26.95635849,-81.18996211, Florida,Glades County,13516
12045,5011,46731,29.93543004,-85.2427099, Florida,Gulf County,15576
12047,4546,30070,30.49673973,-82.94998918, Florida,Hamilton County,14326
12049,10289,62843,27.49293939,-81.80956574, Florida,Hardee County,27131
12051,13709,96529,26.55386945,-81.16469006, Florida,Hendry County,40732
12053,53474,598530,28.55364461,-82.42700204, Florida,Hernando County,186313
12055,30549,397461,27.34254618,-81.34071957, Florida,Highlands County,103437
12057,476248,2154752,27.9276559,-82.32013172, Florida,Hillsborough County,1422278
12059,6343,52112,30.86747479,-85.81319222, Florida,Holmes County,19432
12061,42378,370840,27.69308961,-80.60556721, Florida,Indian River County,153989
12063,18137,170688,30.7954597,-85.21500423, Florida,Jackson County,47945
12065,5002,32728,30.43669112,-83.89442308, Florida,Jefferson County,14161
12067,3133,33066,29.98484137,-83.18166636, Florida,Lafayette County,8637
12069,108629,821229,28.76202069,-81.7125123, Florida,Lake County,345867
12071,241239,1248853,26.58410348,-81.88399313, Florida,Lee County,737468
12073,113336,375069,30.45955727,-84.27491114, Florida,Leon County,289770
12075,12685,79146,29.31829741,-82.74007147, Florida,Levy County,40403
12077,2976,18108,30.23766008,-84.8829258, Florida,Liberty County,8345
12079,7008,53740,30.44396917,-83.47398594, Florida,Madison County,18460
12081,122725,837773,27.47196942,-82.31831044, Florida,Manatee County,384213
12083,104873,1170815,29.21227113,-82.05803627, Florida,Marion County,353526
12085,40389,375166,27.0772071,-80.43109784, Florida,Martin County,159065
12086,1538402,6871386,25.6112362,-80.55170587, Florida,Miami-Dade County,2699428
12087,22773,66294,25.20904673,-81.07812416, Florida,Monroe County,75798
12089,27517,160348,30.61037141,-81.80297522, Florida,Nassau County,83098
12091,61768,401213,30.69143028,-86.59267105, Florida,Okaloosa County,203794
12093,12433,102584,27.3863362,-80.88944347, Florida,Okeechobee County,41144
12095,473188,1584120,28.51367621,-81.31799498, Florida,Orange County,1349746
12097,143580,631325,28.06312234,-81.14882926, Florida,Osceola County,351955
12099,477750,3169488,26.64676272,-80.46536002, Florida,Palm Beach County,1465027
12101,158519,1021893,28.30810945,-82.40227529, Florida,Pasco County,524602
12103,274850,1977027,27.93130349,-82.72239666, Florida,Pinellas County,964666
12105,258115,1678686,27.95027105,-81.69732947, Florida,Polk County,686218
12107,21101,217016,29.60779729,-81.74230285, Florida,Putnam County,73252
12109,78244,301386,29.90096506,-81.43589967, Florida,St. Johns County,244674
12111,95316,732596,27.37763908,-80.47106649, Florida,St. Lucie County,312947
12113,58917,343414,30.6934145,-87.02458128, Florida,Santa Rosa County,174755
12115,121241,962936,27.18546175,-82.33174248, Florida,Sarasota County,419496
12117,131248,620903,28.7158582,-81.24060348, Florida,Seminole County,461402
12119,29963,325832,28.70181754,-82.0794267, Florida,Sumter County,125044
12121,15862,178020,30.19746066,-82.9909967, Florida,Suwannee County,44046
12123,8054,56249,30.04848048,-83.60445406, Florida,Taylor County,21870
12125,5097,74331,30.04412971,-82.37497443, Florida,Union County,15303
12127,150053,1068922,29.05858895,-81.18263252, Florida,Volusia County,536487
12129,12102,67802,30.16548905,-84.39895211, Florida,Wakulla County,32321
12131,20481,113594,30.64204028,-86.16935664, Florida,Walton County,68262
